date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:54:53	298716/298716	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264757356-48edc%22	http://www.varunbajaj.me/js/materialize.js	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/js/materialize.js	(from http://www.varunbajaj.me/)
12:55:01	48524/48524	---M--	200	added ('OK')	font/woff2	etag:%2264757355-bd8c%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Thin.woff2	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Thin.woff2	(from http://www.varunbajaj.me/css/materialize.css)
12:55:04	61628/61628	---M--	200	added ('OK')	font/woff	etag:%2264757355-f0bc%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Thin.woff	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Thin.woff	(from http://www.varunbajaj.me/css/materialize.css)
12:55:07	20940/20940	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264757355-51cc%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Light.eot	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Light.eot	(from http://www.varunbajaj.me/css/materialize.css)
12:55:11	20940/20940	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264757355-51cc%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Light.eot?	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Lightd41d.eot	(from http://www.varunbajaj.me/css/materialize.css)
12:55:12	127584/127584	---M-Z	200	added ('OK')	font/ttf	etag:W/%2264757355-1f260%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Thin.ttf	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Thin.ttf	(from http://www.varunbajaj.me/css/materialize.css)
12:55:19	49380/49380	---M--	200	added ('OK')	font/woff2	etag:%2264757355-c0e4%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Light.woff2	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Light.woff2	(from http://www.varunbajaj.me/css/materialize.css)
12:55:22	62316/62316	---M--	200	added ('OK')	font/woff	etag:%2264757355-f36c%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Light.woff	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Light.woff	(from http://www.varunbajaj.me/css/materialize.css)
12:55:26	21320/21320	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264757355-5348%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Regular.eot	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Regular.eot	(from http://www.varunbajaj.me/css/materialize.css)
12:55:30	21320/21320	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264757355-5348%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Regular.eot?	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Regulard41d.eot	(from http://www.varunbajaj.me/css/materialize.css)
12:55:30	126792/126792	---M-Z	200	added ('OK')	font/ttf	etag:W/%2264757355-1ef48%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Light.ttf	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Light.ttf	(from http://www.varunbajaj.me/css/materialize.css)
12:55:38	49236/49236	---M--	200	added ('OK')	font/woff2	etag:%2264757355-c054%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Regular.woff2	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Regular.woff2	(from http://www.varunbajaj.me/css/materialize.css)
